_id,Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body,EPS Facility
1,2023,1001,ADM Agri-Industries Company,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,83961.5786,,48.2832,390.292,,,,,84401,"84,401","84,401",Dillon Consulting Limited,Yes
2,2023,1002,Air Products Canada Ltd.,Corunna Hydrogen Facility,Corunna,325120,558188.1,,122.108,1026.451,,,,,559337,"559,337","559,337",Tetra Tech Canada,Yes
3,2023,1003,Emerald Energy From Waste Inc.,Emerald Energy from Waste Inc.,Brampton,562210,92837.434,52863,1300.796,990.04,,,,,147992,"95,129","94,643",,No
4,2023,1005,ArcelorMittal Canada MP Inc. and ArcelorMittal Canada Inc. partners in ArcelorMittal Dofasco G.P.,ArcelorMittal Dofasco,Hamilton,331110,4160933.014,753.731,910.236264,6440.2579,,,,,4169038,"4,168,284","4,168,284",GHD Limited,Yes
5,2023,1006,Atlantic Packaging Products Ltd.,111 Progress,Scarborough,322130,42816,6510,28.0616,222.176,,,,,49577,"43,067","43,067",Dillon Consulting,Yes
6,2023,1007,Kap Power Corp,Kapuskasing Power Plant,Kapuskasing,221112,98.4131,,0.054208,0.477265,,,,,99,99,99,Dillon Consulting Limited,Yes
7,2023,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,358.1451,,1.48526,2.085285,,,,,362,362,362,Dillon Consulting,Yes
8,2023,1009,Bay Power Corp,North Bay Power Plant,North Bay,221112,112.8801,,0.061852,0.519665,,,,,114,114,114,Dillon Consulting Limited,Yes
9,2023,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,6613.3628,,46.797128,45.046555,,,,,6706,"6,706","6,706",Dillon Consulting,Yes
10,2023,1011,Brampton Brick Limited,Brampton Brick Limited,Brampton,327120,54261.7,,16.8,145.75,,,,,54425,"54,425","54,425",RWDI,Yes
11,2023,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,301393.0395,,2233.788368,2122.8991,,,,,305750,"305,750","305,750",GHD Limited,Yes
12,2023,1013,Brock University,Brock University,St. Catharines,611310,21765.51,,138.768,143.895,,,,,22049,"22,049","22,049",Dillon Consulting,Yes
13,2023,1016,Bunge Canada,BUNGE CANADA - HAMILTON,HAMILTON,311224,48534.3518,,26.092304,219.24351,,,,,48780,"48,780","48,780",GHD Limited,Yes
14,2023,1017,Cabot Canada Limited,Cabot Canada Limited,Sarnia,325189,230616.2871,,2.3828,17.5695,,,,,230637,"230,637","230,637",GHD Limited,Yes
15,2023,1018,CGC Inc.,CGC Hagersville Plant,HAGERSVILLE,327420,79700.8276,,50.0836,371.7155,,,,,80123,"80,123","80,123",RWDI,Yes
16,2023,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,31110.25,,165.3512,194.177425,,,,,31470,"31,470","31,470",Stantec Consulting Ltd.,Yes
17,2023,1020,Carmeuse Lime Canada Limited,Beachville Operation,Ingersoll,327410,380042.8858,,91.26292,566.8138,,,,,380701,"380,701","380,679",SCV consulting,Yes
18,2023,1021,Carmeuse Lime Canada Limited,Dundas Operations,Dundas,327410,425710.6703,,132.8901,442.50389,,,,,426287,"426,287","426,287",SCV Consulting Limited,Yes
19,2023,1022,Carmeuse Lime Canada Limited,Northern Lime Limited,Blind River,327410,118051.228,,473.0516,102.1575,,,,,118627,"118,627","118,171",SCV Consulting,Yes
